px,py
5.9358,0.0
5.9408,0.0
5.9458,0.0
5.9508,0.0
5.9558,0.0
5.9608,0.0
5.9658,0.0
5.9708,0.0
5.9758,0.0
5.9808,0.0
5.9858,0.0
5.9908,0.0
5.9958,0.0
6.0008,0.0
6.0058,0.0
6.0108,0.0
6.0208,0.0
6.0258,0.0
6.0308,0.0
6.0358,0.0
6.0408,0.0
6.0458,0.0
6.0508,0.0
6.0558,0.0
6.0608,0.0
6.0658,0.0
6.0708,0.0
6.0758,0.0
6.0808,0.0
6.0858,0.0
6.0908,0.0
6.0958,0.0
6.1008,0.0
6.1058,0.0
6.1108,0.0
6.1158,0.0
6.1208,0.0
6.1258,0.0
6.1308,0.0
6.1358,0.0
6.1408,0.0
6.1458,0.0
6.1508,0.0
6.1558,0.0
6.1608,0.0
6.1658,0.0
6.1708,0.0
6.1758,0.0
6.1808,0.0
6.1858,0.0
6.1908,0.0
6.1958,0.0
6.2008,0.0
6.2058,0.0
6.2108,0.0
6.2158,0.0
6.2208,0.0
6.2258,0.0
6.2308,0.0
6.2358,0.0
6.2408,0.0
6.2458,0.0
6.2508,0.0
6.2558,0.0
6.2608,0.0
6.2658,0.0
6.2708,0.0
6.2758,0.0
6.2808,0.0
6.2858,0.0
6.2908,0.0
6.2958,0.0
6.3008,0.0
6.3058,0.0
6.3108,0.0
6.3158,0.0
6.3208,0.0
6.3258,0.0
6.3308,0.0
6.3358,0.0
6.3458,0.0
6.3508,0.0
6.3558,0.0
6.3608,0.0
6.3708,0.0
6.3758,0.0
6.3808,0.0
6.3858,0.0
6.3908,0.0
6.3958,0.0
6.4008,0.0
6.4058,0.0
6.4108,0.0
6.4158,0.0
6.4208,0.0
6.4258,0.0
6.4308,0.0
6.4358,0.0
6.4408,0.0
6.4458,0.0
6.4508,0.0
6.4558,0.0
6.4608,0.0
6.4658,0.0
6.4758,0.0
6.4808,0.0
6.4858,0.0
6.4908,0.0
6.4958,0.0
6.5008,0.0
6.5058,0.0
6.5108,0.0
6.5158,0.0
6.5208,0.0
6.5258,0.0
6.5308,0.0
6.5358,0.0
6.5408,0.0
6.5458,0.0
6.5508,0.0
6.5558,0.0
6.5608,0.0
6.5658,0.0
6.5708,0.0
6.5758,0.0
6.5808,0.0
6.5858,0.0
6.5908,0.0
6.5958,0.0
6.6008,0.0
6.6058,0.0
6.6108,0.0
6.6158,0.0
6.6208,0.0
6.6258,0.0
6.6308,0.0
6.6358,0.0
6.6408,0.0
6.6458,0.0
6.6508,0.0
6.6558,0.0
6.6608,0.0
6.6658,0.0
6.6708,0.0
6.6758,0.0
6.6808,0.0
6.6858,0.0
6.6908,0.0
6.6958,0.0
6.7008,0.0
6.7058,0.0
6.7108,0.0
6.7158,0.0
6.7208,0.0
6.7258,0.0
6.7308,0.0
6.7408,0.0
6.7458,0.0
6.7508,0.0
6.7558,0.0
6.9658,0.0
6.9708,0.0
6.9758,0.0
6.9808,0.0
6.9858,0.0
6.9908,0.0
6.9958,0.0
7.0008,0.0
7.0058,0.0
7.0108,0.0
7.0208,0.0
7.0258,0.0
7.0308,0.0
7.0358,0.0
7.0408,0.0
7.0458,0.0
7.0508,0.0
7.0558,0.0
7.0608,0.0
7.0658,0.0
7.0708,0.0
7.0758,0.0
7.0808,0.0
7.0858,0.0
7.0908,0.0
7.0958,0.0
7.1008,0.0
7.1058,0.0
7.1108,0.0
7.1158,0.0
7.1208,0.0
7.1258,0.0
7.1308,0.0
7.1358,0.0
7.1408,0.0
7.1458,0.0
7.1508,0.0
7.1558,0.0
7.1608,0.0
7.1658,0.0
7.1708,0.0
7.1758,0.0
7.1808,0.0
7.1858,0.0
7.1908,0.0
7.1958,0.0
7.2008,0.0
7.2058,0.0
7.2108,0.0
7.2158,0.0
7.2208,0.0
7.2258,0.0
7.2308,0.0
7.2358,0.0
7.2408,0.0
7.2458,0.0
7.2508,0.0
7.2558,0.0
7.2608,0.0
7.2658,0.0
7.2708,0.0
7.2758,0.0
7.2808,0.0
7.2858,0.0
7.2908,0.0
7.2958,0.0
7.3008,0.0
7.3058,0.0
7.3108,0.0
7.3158,0.0
7.3208,0.0
7.3258,0.0
7.3308,0.0
7.3358,0.0
7.3408,0.0
7.3458,0.0
7.3508,0.0
7.3558,0.0
7.3608,0.0
7.3658,0.0
7.3708,0.0
7.3758,0.0
7.3808,0.0
7.3858,0.0
7.3908,0.0
7.3958,0.0
7.4008,0.0
7.4058,0.0
7.4108,0.0
7.4158,0.0
7.4208,0.0
7.4258,0.0
7.4308,0.0
7.4358,0.0
7.4408,0.0
7.4458,0.0
7.4508,0.0
7.4558,0.0
7.4608,0.0
7.4658,0.0
7.4708,0.0
7.4758,0.0
7.4808,0.0
7.4858,0.0
7.4908,0.0
7.4958,0.0
7.5008,0.0
7.5058,0.0
7.5108,0.0
7.5158,0.0
7.5208,0.0
7.5258,0.0
7.5308,0.0
7.5358,0.0
7.5408,0.0
7.5458,0.0
7.5508,0.0
7.5558,0.0
7.5608,0.0
7.5658,0.0
7.5708,0.0
7.5758,0.0
7.5808,0.0
7.5858,0.0
7.5908,0.0
7.5958,0.0
7.6008,0.0
7.6058,0.0
7.6108,0.0
7.6158,0.0
7.6208,0.0
7.6258,0.0
7.6308,0.0
7.6358,0.0
7.6408,0.0
7.6458,0.0
7.6508,0.0
7.6558,0.0
7.6608,0.0
7.6658,0.0
7.6708,0.0
7.6758,0.0
7.6808,0.0
7.6858,0.0
7.6908,0.0
7.6958,0.0
7.7008,0.0
7.7058,0.0
7.7108,0.0
7.7158,0.0
7.7208,0.0
7.7258,0.0
7.7308,0.0
7.7358,0.0
7.7408,0.0
7.7508,0.0
7.7558,0.0
7.7608,0.0
7.7658,0.0
7.7708,0.0
7.7758,0.0
7.7808,0.0
7.7858,0.0
7.7908,0.0
7.7958,0.0
7.8008,0.0
7.8058,0.0
7.8108,0.0
7.8158,0.0
7.8208,0.0
7.8258,0.0
7.8308,0.0
7.8358,0.0
7.8408,0.0
7.8458,0.0
7.8508,0.0
7.8558,0.0
7.8608,0.0
7.8658,0.0
7.8708,0.0
7.8758,0.0
7.8808,0.0
7.8858,0.0
7.8908,0.0
7.8958,0.0
7.9008,0.0
7.9058,0.0
7.9108,0.0
7.9158,0.0
7.9208,0.0
7.9258,0.0
7.9308,0.0
7.9358,0.0
7.9408,0.0
7.9458,0.0
7.9508,0.0
7.9558,0.0
7.9608,0.0
7.9708,0.0
7.9758,0.0
7.9808,0.0
7.9858,0.0
7.9908,0.0
7.9958,0.0
8.0008,0.0
8.0058,0.0
8.0108,0.0
